Light,CO2,NH3,Alcohol,Temp,Mix,Heating,Cluster
1133,476,12,26,47.2,0,1,1
1131,479,12,26,47.1,0,1,1
1129,476,12,26,47.1,0,1,1
1128,476,12,26,47.0,0,1,1
1120,471,12,26,46.9,0,1,1
1126,476,12,26,46.8,0,1,1
1082,462,12,25,46.7,0,1,1
1116,474,12,26,46.7,0,1,1
1114,471,12,26,46.5,0,1,1
1113,467,12,25,46.3,0,1,1
1107,457,12,25,46.1,0,1,1
1105,457,12,25,45.9,0,1,1
1069,424,11,23,45.6,0,1,1
1102,450,11,24,45.3,0,1,1
1098,442,11,24,44.9,0,0,1
788,438,11,24,27.9,0,0,0
791,438,11,24,27.9,0,0,0
798,438,11,24,27.9,0,0,0
795,433,11,23,27.8,0,0,0
799,438,11,24,27.8,0,0,0
799,433,11,23,27.8,0,0,0
808,438,11,24,27.8,0,0,0
801,431,11,23,27.8,0,0,0
801,435,11,23,27.8,0,0,0
800,438,11,24,27.8,0,0,0
799,431,11,23,27.9,0,0,0
803,435,11,23,27.8,0,0,0
804,435,11,23,27.9,0,0,0
805,438,11,24,27.9,0,0,0
803,428,11,23,27.9,0,0,0
805,435,11,23,27.9,0,0,0
803,440,11,24,27.9,0,0,0
803,438,11,24,27.9,0,0,0
800,435,11,23,27.9,0,0,0
800,433,11,23,27.9,0,0,0
803,435,11,23,27.9,0,0,0
812,440,11,24,27.9,0,0,0
812,442,11,24,27.9,0,0,0
812,445,11,24,27.9,0,0,0
812,431,11,23,27.9,0,0,0
810,433,11,23,27.9,0,0,0
812,438,11,24,27.9,0,0,0
814,426,11,23,27.9,0,0,0
812,433,11,23,27.9,0,0,0
813,431,11,23,27.9,0,0,0
815,438,11,24,27.9,0,0,0
814,433,11,23,27.9,0,0,0
813,433,11,23,27.9,0,0,0
813,440,11,24,27.9,0,0,0
814,440,11,24,27.9,0,0,0
813,442,11,24,27.9,0,0,0
815,433,11,23,27.9,0,0,0
815,435,11,23,27.9,0,0,0
814,438,11,24,27.9,0,0,0
812,435,11,23,27.9,0,0,0
811,440,11,24,27.9,0,0,0
811,438,11,24,27.9,0,0,0
810,438,11,24,27.9,0,0,0
808,438,11,24,27.9,0,0,0
807,438,11,24,27.9,0,0,0
808,431,11,23,27.9,0,0,0
799,428,11,23,27.9,0,0,0
804,438,11,24,27.9,0,0,0
802,438,11,24,27.8,0,0,0
795,428,11,23,27.9,0,0,0
800,442,11,24,27.9,0,0,0
799,435,11,23,27.8,0,0,0
802,442,11,24,27.8,0,0,0
798,438,11,24,27.8,0,0,0
802,440,11,24,27.8,0,0,0
800,428,11,23,27.9,0,0,0
800,433,11,23,27.8,0,0,0
799,440,11,24,27.8,0,0,0
797,438,11,24,27.8,0,0,0
798,433,11,23,27.8,0,0,0
797,445,11,24,27.8,0,0,0
791,428,11,23,27.8,0,0,0
798,428,11,23,27.8,0,0,0
797,435,11,23,27.8,0,0,0
795,435,11,23,27.8,0,0,0
794,435,11,23,27.8,0,0,0
794,438,11,24,27.8,0,0,0
787,428,11,23,27.8,0,0,0
795,438,11,24,27.8,0,0,0
799,431,11,23,27.8,0,0,0
801,438,11,24,27.8,0,0,0
799,428,11,23,27.8,0,0,0
802,433,11,23,27.8,0,0,0
797,440,11,24,27.8,0,0,0
139,375,10,20,31.2,100,0,2
137,377,10,20,31.1,100,0,2
139,375,10,20,30.8,100,0,2
140,377,10,20,30.6,100,0,2
136,375,10,20,30.6,100,0,2
136,379,10,20,30.4,100,0,2
138,373,10,20,30.3,100,0,2
138,379,10,20,30.3,100,0,2
137,373,10,20,30.1,100,0,2
142,377,10,20,30.1,100,0,2
138,375,10,20,30.0,100,0,2
138,375,10,20,29.9,100,0,2
137,373,10,20,29.9,100,0,2
136,379,10,20,29.8,100,0,2
138,379,10,20,29.7,100,0,2
137,375,10,20,29.7,100,0,2
135,373,10,20,29.6,100,0,2
139,379,10,20,29.4,100,0,2
138,373,10,20,29.4,100,0,2
135,375,10,20,29.4,100,0,2
139,382,10,20,29.3,100,0,2
137,377,10,20,29.3,100,0,2
139,373,10,20,29.3,100,0,2
140,381,10,20,29.2,100,0,2
139,373,10,20,29.2,100,0,2
138,381,10,20,29.2,100,0,2
138,375,10,20,29.1,100,0,2
136,375,10,20,29.1,100,0,2
134,379,10,20,29.1,100,0,2
136,379,10,20,29.0,100,0,2
138,375,10,20,29.0,100,0,2
135,379,10,20,29.0,100,0,2
134,377,10,20,28.9,100,0,2
133,373,10,20,28.9,100,0,2
133,379,10,20,28.8,100,0,2
136,377,10,20,28.8,100,0,2
130,375,10,20,28.7,100,0,2
129,379,10,20,28.7,100,0,2
131,375,10,20,28.7,100,0,2
134,377,10,20,28.6,100,0,2
137,375,10,20,28.6,100,0,2
131,375,10,20,28.6,100,0,2
133,375,10,20,28.6,100,0,2
131,379,10,20,28.5,100,0,2
130,377,10,20,28.5,100,0,2
131,375,10,20,28.4,100,0,2
134,375,10,20,28.4,100,0,2
130,375,10,20,28.4,100,0,2
130,377,10,20,28.4,100,0,2
128,375,10,20,28.3,100,0,2
131,375,10,20,28.3,100,0,2
127,375,10,20,28.3,100,0,2
130,375,10,20,28.3,100,0,2
131,373,10,20,28.3,100,0,2
125,375,10,20,28.3,100,0,2
128,375,10,20,28.2,100,0,2
130,379,10,20,28.2,100,0,2
127,377,10,20,28.2,100,0,2
131,377,10,20,28.1,100,0,2
131,379,10,20,28.2,100,0,2
127,377,10,20,28.1,100,0,2
125,381,10,20,28.1,100,0,2
131,373,10,20,28.1,100,0,2
129,375,10,20,28.1,100,0,2
130,373,10,20,28.1,100,0,2
128,375,10,20,28.0,100,0,2
128,379,10,20,28.0,100,0,2
125,379,10,20,28.0,100,0,2
126,379,10,20,27.9,100,0,2
127,375,10,20,27.9,100,0,2
125,381,10,20,27.9,100,0,2
123,384,10,20,27.9,100,0,2
116,388,10,20,27.9,100,0,2
123,377,10,20,27.9,100,0,2
125,373,10,20,27.9,100,0,2
127,379,10,20,27.9,100,0,2
127,377,10,20,27.9,100,0,2
124,373,10,20,27.9,100,0,2
1201,464,12,25,60.6,20,1,4
1200,474,12,26,60.7,20,1,4
1194,467,12,25,60.8,20,1,4
1188,464,12,25,60.8,20,1,4
1189,457,12,25,60.6,20,1,4
1186,452,11,24,60.5,20,1,4
1195,454,11,25,60.4,20,1,4
1186,450,11,24,60.2,20,1,4
1159,417,11,22,60.0,20,1,4
1182,452,11,24,59.9,20,1,4
1177,447,11,24,59.7,20,1,4
1152,426,11,23,59.5,20,1,4
1137,419,11,22,59.3,20,1,4
1173,447,11,24,59.0,20,1,4
1168,440,11,24,58.8,20,1,4
1165,442,11,24,58.6,20,1,4
1148,447,11,24,58.4,20,1,4
1159,442,11,24,58.3,20,1,4
1150,445,11,24,58.0,20,1,4
1148,438,11,24,57.7,20,1,4
1150,442,11,24,57.5,20,1,4
1140,440,11,24,57.0,20,1,4
1135,438,11,24,56.9,20,1,4
1136,442,11,24,56.6,20,1,4
1134,440,11,24,56.4,20,1,4
1122,442,11,24,56.1,20,1,4
1119,438,11,24,55.9,20,1,4
1119,445,11,24,55.6,20,1,4
1118,440,11,24,55.4,20,1,4
1106,438,11,24,55.1,20,1,4
1110,442,11,24,54.8,20,1,4
1073,428,11,23,54.6,20,1,4
1070,415,11,22,54.4,20,1,4
1092,440,11,24,54.0,20,1,4
1082,442,11,24,53.7,20,1,1
1076,440,11,24,53.5,20,1,1
1075,440,11,24,53.3,20,1,1
1069,438,11,24,53.0,20,1,1
1070,440,11,24,52.7,20,1,1
1070,440,11,24,52.5,20,1,1
1059,447,11,24,52.2,20,1,1
1060,445,11,24,52.0,20,1,1
1027,426,11,23,51.7,20,1,1
1061,454,11,25,51.6,20,1,1
1052,457,12,25,51.4,20,1,1
1036,462,12,25,51.1,20,1,1
1032,464,12,25,51.0,20,1,1
1011,440,11,24,50.9,20,1,1
1036,467,12,25,50.8,20,1,1
1033,469,12,25,50.6,20,1,1
1027,469,12,25,50.4,20,1,1
1020,469,12,25,50.2,20,1,1
1024,474,12,26,50.2,20,1,1
1020,471,12,26,50.1,20,1,1
1020,474,12,26,50.0,20,1,1
1019,476,12,26,49.9,20,1,1
1002,452,11,24,49.9,20,1,1
990,445,11,24,49.7,20,1,1
1019,479,12,26,49.7,20,1,1
1017,479,12,26,49.7,20,1,1
1018,474,12,26,49.6,20,1,1
1011,481,12,26,49.5,20,1,1
1010,479,12,26,49.4,20,1,1
980,462,12,25,49.3,20,1,1
1001,471,12,26,49.2,20,1,1
998,479,12,26,49.1,20,1,1
1001,481,12,26,48.9,20,1,1
993,476,12,26,48.9,20,1,1
994,476,12,26,48.8,20,1,1
994,479,12,26,48.7,20,1,1
993,479,12,26,48.6,20,1,1
993,479,12,26,48.4,20,1,1
979,479,12,26,48.4,20,1,1
985,479,12,26,48.3,20,1,1
988,479,12,26,48.2,20,1,1
987,479,12,26,48.1,20,1,1
986,479,12,26,48.0,20,1,1
984,479,12,26,47.9,20,1,1
982,479,12,26,47.8,20,1,1
982,476,12,26,47.7,20,1,1
978,479,12,26,47.7,20,1,1
956,467,12,25,47.6,20,1,1
979,467,12,25,47.6,20,1,1
967,474,12,26,47.4,20,1,1
969,479,12,26,47.4,20,1,1
969,479,12,26,47.2,20,1,1
969,481,12,26,47.1,20,1,1
968,481,12,26,47.0,20,1,1
967,479,12,26,46.9,20,1,1
968,479,12,26,46.8,20,1,1
967,479,12,26,46.7,20,1,1
965,476,12,26,46.6,20,1,1
964,481,12,26,46.6,20,1,1
963,479,12,26,46.5,20,1,1
963,487,12,27,46.4,20,1,1
957,479,12,26,46.4,20,1,1
953,479,12,26,46.3,20,1,1
957,487,12,27,46.2,20,1,1
961,481,12,26,46.2,20,1,1
931,457,12,25,46.1,20,1,1
921,457,12,25,46.1,20,1,1
953,481,12,26,46.0,20,1,1
928,467,12,25,46.0,20,1,1
927,454,11,25,45.8,20,1,1
953,479,12,26,45.7,20,1,1
944,474,12,26,45.6,20,1,1
948,471,12,26,45.5,20,1,1
944,476,12,26,45.1,20,1,1
914,445,11,24,45.1,20,1,1
698,479,12,26,33.4,20,0,0
695,479,12,26,33.0,20,0,0
697,474,12,26,32.7,20,0,0
699,479,12,26,32.6,20,0,0
704,471,12,26,32.5,20,0,0
698,474,12,26,32.4,20,0,0
701,474,12,26,32.3,20,0,0
706,479,12,26,32.1,20,0,0
707,476,12,26,31.9,20,0,0
708,471,12,26,31.8,20,0,0
705,479,12,26,31.8,20,0,0
708,474,12,26,31.7,20,0,0
707,474,12,26,31.6,20,0,0
700,479,12,26,31.6,20,0,0
704,471,12,26,31.5,20,0,0
705,476,12,26,31.5,20,0,0
699,479,12,26,31.4,20,0,0
699,476,12,26,31.3,20,0,0
701,476,12,26,31.2,20,0,0
701,479,12,26,31.2,20,0,0
700,476,12,26,31.1,20,0,0
702,476,12,26,31.1,20,0,0
701,476,12,26,31.0,20,0,0
701,479,12,26,31.0,20,0,0
702,479,12,26,30.9,20,0,0
700,476,12,26,30.8,20,0,0
701,479,12,26,30.8,20,0,0
700,471,12,26,30.8,20,0,0
699,474,12,26,30.7,20,0,0
698,479,12,26,30.7,20,0,0
697,476,12,26,30.6,20,0,0
699,479,12,26,30.6,20,0,0
694,479,12,26,30.6,20,0,0
695,474,12,26,30.5,20,0,0
695,479,12,26,30.4,20,0,0
689,476,12,26,30.4,20,0,0
694,479,12,26,30.4,20,0,0
689,479,12,26,30.3,20,0,0
692,479,12,26,30.3,20,0,0
687,479,12,26,30.3,20,0,0
688,479,12,26,30.3,20,0,0
686,476,12,26,30.2,20,0,0
687,479,12,26,30.2,20,0,0
687,481,12,26,30.1,20,0,0
681,476,12,26,30.1,20,0,0
683,471,12,26,30.1,20,0,0
683,479,12,26,30.1,20,0,0
684,476,12,26,30.1,20,0,0
683,479,12,26,30.0,20,0,0
682,479,12,26,29.9,20,0,0
679,476,12,26,29.9,20,0,0
681,479,12,26,29.9,20,0,0
683,479,12,26,29.9,20,0,0
673,479,12,26,29.9,20,0,0
679,479,12,26,29.9,20,0,0
679,474,12,26,29.8,20,0,0
678,476,12,26,29.8,20,0,0
679,479,12,26,29.8,20,0,0
675,476,12,26,29.8,20,0,0
678,479,12,26,29.8,20,0,0
676,479,12,26,29.8,20,0,0
672,471,12,26,29.7,20,0,0
676,479,12,26,29.7,20,0,0
673,476,12,26,29.6,20,0,0
675,476,12,26,29.6,20,0,0
672,474,12,26,29.6,20,0,0
673,479,12,26,29.6,20,0,0
675,479,12,26,29.6,20,0,0
676,479,12,26,29.6,20,0,0
674,479,12,26,29.6,20,0,0
669,479,12,26,29.6,20,0,0
672,476,12,26,29.5,20,0,0
1044,440,11,24,60.8,40,1,4
1078,471,12,26,60.6,40,1,4
1076,452,11,24,60.4,40,1,4
1074,452,11,24,60.2,40,1,4
1073,452,11,24,59.9,40,1,4
1066,447,11,24,59.7,40,1,4
1066,442,11,24,59.3,40,1,4
1062,445,11,24,59.0,40,1,4
1061,440,11,24,58.7,40,1,4
1059,454,11,25,58.3,40,1,4
1053,454,11,25,58.1,40,1,4
1055,454,11,25,58.0,40,1,4
1052,452,11,24,57.8,40,1,4
1015,435,11,23,57.7,40,1,4
1044,457,12,25,57.5,40,1,4
1043,457,12,25,57.4,40,1,4
1037,452,11,24,57.3,40,1,4
1034,457,12,25,57.2,40,1,4
1032,462,12,25,57.1,40,1,4
1021,459,12,25,57.1,40,1,4
1017,464,12,25,57.0,40,1,4
1014,457,12,25,56.9,40,1,4
1013,464,12,25,57.0,40,1,4
1006,467,12,25,56.9,40,1,4
1008,469,12,25,56.9,40,1,4
1009,464,12,25,56.9,40,1,4
1007,467,12,25,56.8,40,1,4
994,462,12,25,56.5,40,1,1
998,447,11,24,56.4,40,1,1
993,457,12,25,56.1,40,1,1
995,462,12,25,55.9,40,1,1
993,462,12,25,55.6,40,1,1
951,433,11,23,55.3,40,1,1
988,450,11,24,55.1,40,1,1
953,433,11,23,54.7,40,1,1
949,435,11,23,54.4,40,1,1
941,435,11,23,54.2,40,1,1
976,454,11,25,54.1,40,1,1
959,447,11,24,54.0,40,1,1
967,457,12,25,53.7,40,1,1
967,452,11,24,53.6,40,1,1
965,447,11,24,53.4,40,1,1
960,445,11,24,53.2,40,1,1
955,445,11,24,52.9,40,1,1
941,442,11,24,52.6,40,1,1
944,454,11,25,52.1,40,1,1
960,447,11,24,52.0,40,1,1
921,431,11,23,51.9,40,1,1
953,467,12,25,51.9,40,1,1
942,457,12,25,51.8,40,1,1
920,438,11,24,51.8,40,1,1
945,457,12,25,51.7,40,1,1
920,438,11,24,51.7,40,1,1
929,454,11,25,51.7,40,1,1
931,462,12,25,51.7,40,1,1
930,464,12,25,51.7,40,1,1
929,467,12,25,51.6,40,1,1
928,469,12,25,51.6,40,1,1
928,467,12,25,51.6,40,1,1
924,471,12,26,51.6,40,1,1
918,467,12,25,51.5,40,1,1
925,457,12,25,51.5,40,1,1
895,447,11,24,51.4,40,1,1
915,464,12,25,51.4,40,1,1
917,464,12,25,51.3,40,1,1
918,471,12,26,51.2,40,1,1
915,479,12,26,51.2,40,1,1
917,471,12,26,51.2,40,1,1
916,467,12,25,51.1,40,1,1
915,467,12,25,51.0,40,1,1
913,467,12,25,50.9,40,1,1
908,457,12,25,50.6,40,1,1
866,438,11,24,50.4,40,1,1
879,426,11,23,50.0,40,1,1
902,447,11,24,49.7,40,1,1
902,445,11,24,49.3,40,1,1
897,447,11,24,49.0,40,1,1
897,452,11,24,48.7,40,1,1
893,438,11,24,48.5,40,1,1
889,445,11,24,48.2,40,1,1
874,442,11,24,47.9,40,1,1
